location_name,created_geology_id,linked_location_count
"""Chookie Site"", Elderslie Station (AODL 0120)",585,1
"""Rock Hole"", Rosebery Downs, Muttaburra",82,1
"-447 feet, Borehole 2, Cleeve, near Longreach",116,1
"-519 feet, Borehole 2, Cleeve, near Longreach",115,1
1 km upstream from Six Mile Yard (Nawagaspis type-loc),607,1
"10 km south east of Springvale, near the Narrien Range",605,1
4 miles SW of Eungella Station,165,1
4.5 km upstream from Six Mile Yard (Wurungaspis type-loc),608,1
Accord,330,1
Alderly station,177,1
Alni Station,86,1
"Ann site, Elderslie Station (AODL 0252)",589,1
"AODL 0049, Mick, west of Winton",597,1
"AODL 0079, McKenzie, Elderslie Station",598,1
"AODL 0080, Bob, Belmont Station",595,1
"AODL 0117, Dixie, Elderslie Station",599,1
"AODL 0125, Trixie, Elderslie Station",600,1
"AODL 0128, Devil Dave, Belmont Station",592,1
"AODL 0137, Elderslie Station",594,1
"AODL 0160, Patrice, Lovelle Downs Station",596,1
"AODL 0215, Ian, Elderslie Station",593,1
"AODL 0247, Leo, Belmont Station",601,1
Aramac [Tambo Series],152,1
"Army Downs, 35 miles north of Richmond",183,1
Ashgrove Station,324,1
"B220, W of Pyramid, Ukalunda Beds",55,1
"B610F, W of Pyramid, Ukalunda Beds",56,1
"B76F, Mary Creek, Ukalunda Beds",54,1
"B84F, Mary Creek, Ukalunda Beds",53,1
Barcaldine [Allaru Fm],141,1
Beaconsfield [Tambo Series],154,1
Belmont Station,178,1
"Big Stockyard Creek area, south of Greenvale",523,1
Birralee Hill,117,1
"Blaggard Creek, Spring Park Station",536,1
Bluff Downs,535,1
"Bluff Downs station, Main Quarry",79,1
"BMR B1569, Collinsville",382,1
"BMR B1570, Parrot Creek, Mulgrave Yards",118,1
"BMR B1572, Parrot Creek, Mulgrave Road Crossing",171,1
"BMR B1633, Collinsville",310,1
"BMR B1633a, Collinsville",377,1
"BMR B1633b, Collinsville",378,1
"BMR B1634, Collinsville",119,1
"BMR B261d, Nebo Synclinorium",380,1
"BMR B261e, Nebo Synclinorium",120,1
"BMR B270a, Exmoor Homestead",121,1
"BMR B594, Collinsville area",368,1
"BMR B628, Collinsville Shelf",122,1
"BMR B629, Collinsville",379,1
"BMR B634, Bowen Basin",123,1
"BMR B635, Collinsville Shelf",124,1
"BMR B683, Exmoor Homestead",125,1
"BMR B686, Nebo Synclinorium",126,1
"BMR B711, Bowen River",381,1
"BMR B712, Nebo Synclinorium",127,1
"BMR C113, Capella Block",312,1
"BMR C1318/1, Clermont area",315,1
"BMR C144/3, Capella Block",313,1
"BMR CL12/1, Pelecypod Bed, Capella Block",128,1
"BMR CL12/2, Clarkei Bed, Capella Block",129,1
"BMR CL132, Clarkei Bed, Capella Block",130,1
"BMR CL132B, Clarkei Bed, Capella Block",361,1
"BMR CL14, Capella Block",131,1
"BMR CL142, Mount Lebanon/Logan Downs Homesteads, Clermont Area",132,1
"BMR CL21/5, Tay Glen Crossing, Phillips Creek",172,1
"BMR CL225/1, Clarkei Bed, Capella Block",133,1
"BMR CL25/1, Pelecypod Bed, Capella Block",134,1
"BMR CL30/1, Clermont area",367,1
"BMR CL318/1, Clermont area",365,1
"BMR CL40/2, Clarkei Bed, Capella Block",362,1
"BMR CL42/6, Clermont area",364,1
"BMR CL50/1, Capella Block",135,1
BMR Collinsville 1,309,1
BMR Collinsville 1a,366,1
BMR Collinsville 4a,318,1
BMR Collinsville 5,359,1
"BMR Du519, Myrtle Park Homestead",136,1
"BMR Em208, Capella Block",314,1
"BMR EM209, Clarkei Bed, Capella Block",137,1
"BMR M12F, Nebo Synclinorium",155,1
"BMR M418, Mackay Area",311,1
"BMR M85c, Collinsville",363,1
"BMR MC1065, Blenheim Homestead",156,1
"BMR MC292, Collinsville Road, Blenheim Creek",302,1
"BMR MC293, Blenheim",176,1
"BMR MC311, Lenton Downs Homestead",157,1
"BMR MC414, Nebo Synclinorium",158,1
"BMR MC420, Bowen River",159,1
"BMR MC423a, Blenheim Homestead",316,1
"BMR MC423b, Blenheim Homestead",317,1
"BMR MC479, Hazelwood Creek",160,1
"BMR MC485 AF, Hazelwood Creek",163,1
"BMR MC485 BF, Hazelwood Creek",164,1
"BMR MC485 CF, Hazelwood Creek",166,1
"BMR MC485 Diel, Hazelwood Creek",162,1
"BMR MC485, Hazelwood Creek",161,1
"BMR MC553, Homevale-Elphinstone Road",167,1
"BMR MC657, Blenheim Homestead",168,1
"BMR MC803, Blenheim Homestead",170,1
"BMR MC957, Mount Cona Creek",169,1
Boremba Station,328,1
"Boundary Creek Area, Blysmatophyllum-Iowaphyllum association",114,1
Bowen River (Daintree collection),354,1
"Bowen River, at No. 25 traverse station",349,1
"Bowen River, between traverse stations 25 and 26",348,1
"Bowen River, unit C (UQ coll)",360,1
Br 13B. 214.5 m,582,1
Br 13B. 216 m,581,1
Branch of Flinders River between Flinders and Borree Park Homestead,327,1
Broken River,604,1
"Burdekin River near Big Bend, N of Charters Towers",76,1
"Cambridge Quarry, Morungle Station",591,1
"Canary Station, Hughenden area",329,1
Cardigan,369,1
"CCD 102.2, Chinaman Creek Limestone, Broken River",394,1
"CCD 107.3, Chinaman Creek Limestone, Broken River",398,1
"CCD 111.6, Chinaman Creek Limestone, Broken River",395,1
"CCD 116.0, Chinaman Creek Limestone, Broken River",396,1
"CCD 121.3, Chinaman Creek Limestone, Broken River",385,1
"CCD 127.2, Chinaman Creek Limestone, Broken River",391,1
"CCD 150.5, Chinaman Creek Limestone, Broken River",399,1
"CCD 152.6, Chinaman Creek Limestone, Broken River",388,1
"CCD 155.0, Chinaman Creek Limestone, Broken River",387,1
"CCD 167.5, Chinaman Creek Limestone, Broken River",400,1
"CCD 170.3, Chinaman Creek Limestone, Broken River",401,1
"CCD 233.5, Chinaman Creek Limestone, Broken River",405,1
"CCD 270.0, Chinaman Creek Limestone, Broken River",406,1
"CCD 348.0, Chinaman Creek Limestone, Broken River",407,1
"CCD 378.0, Chinaman Creek Limestone, Broken River",404,1
"CCD 383.8, Chinaman Creek Limestone, Broken River",403,1
"CCD 390.0, Chinaman Creek Limestone, Broken River",408,1
"CCD 400.0, Chinaman Creek Limestone, Broken River",402,1
"CCD 408.3, Chinaman Creek Limestone, Broken River",417,1
"CCD 420.0, Chinaman Creek Limestone, Broken River",411,1
"CCD 425.0, Chinaman Creek Limestone, Broken River",415,1
"CCD 429.0, Chinaman Creek Limestone, Broken River",409,1
"CCD 435.0, Chinaman Creek Limestone, Broken River",418,1
"CCD 451.0, Chinaman Creek Limestone, Broken River",410,1
"CCD 53.7, Chinaman Creek Limestone, Broken River",386,1
"CCD 553.0, Chinaman Creek Limestone, Broken River",412,1
"CCD 608.3, Chinaman Creek Limestone, Broken River",416,1
"CCD 620.0, Chinaman Creek Limestone, Broken River",413,1
"CCD 625.0, Chinaman Creek Limestone, Broken River",414,1
"CCD 64.5, Chinaman Creek Limestone, Broken River",389,1
"CCD 68.4, Chinaman Creek Limestone, Broken River",397,1
"CCD 691.0, Chinaman Creek Limestone, Broken River",425,1
"CCD 72.1, Chinaman Creek Limestone, Broken River",392,1
"CCD 75.0, Chinaman Creek Limestone, Broken River",393,1
"CCD 781.0, Chinaman Creek Limestone, Broken River",419,1
"CCD 782.6, Chinaman Creek Limestone, Broken River",420,1
"CCD 784.5, Chinaman Creek Limestone, Broken River",421,1
"CCD 786.0, Chinaman Creek Limestone, Broken River",426,1
"CCD 790.5, Chinaman Creek Limestone, Broken River",422,1
"CCD 791.0, Chinaman Creek Limestone, Broken River",423,1
