location_id,location_name,state,country_code,latitude,longitude,proposed_geology_id,proposed_from_location_id,proposed_from_location_name,method,distance_km,confidence
527,"Douglas Creek Limestone, LIL-1, 2,5m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
533,"Douglas Creek Limestone, LIL-1, 22.2 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
532,"Douglas Creek Limestone, LIL-1, 24,5 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
535,"Douglas Creek Limestone, LIL-1, 25 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
536,"Douglas Creek Limestone, LIL-1, 5.7 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
531,"Douglas Creek Limestone, LIL-1, 6.7 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
534,"Douglas Creek Limestone, LIL-1, 7.7 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
537,"Douglas Creek Limestone, LIL-1, 8.9 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
528,"Douglas Creek Limestone, LIL-2, 30 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
538,"Douglas Creek Limestone, LIL-2, 31,7 m",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
529,"Douglas Creek Limestone, PB-061",Queensland,AU,-22.900000,147.633331,3,3,"Douglas Creek Formation, Clermont District, Queensland, Australia",exact_coord_state_country,0.0,high
244,"GSQ L421, Stockton 27",Queensland,AU,-21.000000,148.000000,32,32,N. Bowen Basin,exact_coord_state_country,0.0,high
549,"Ho-Hum site, Belmont Station (AODL 0082)",Queensland,AU,-22.348333,143.089172,40,40,Elliot Site (QM L1333/AODL 001),exact_coord_state_country,0.0,high
552,New Quarry dinosaur tracksite (QM),Queensland,AU,-23.076111,142.806671,29,29,Lark Quarry dinosaur tracksite (QM),exact_coord_state_country,0.0,high
