location_id,location_name,state,country_code,latitude,longitude,reason
600,"""Chookie Site"", Elderslie Station (AODL 0120)",Queensland,AU,-22.199722,142.528610,nearest_geology_over_10km (53.402 km)
82,"""Rock Hole"", Rosebery Downs, Muttaburra",Queensland,AU,-22.667500,144.600555,nearest_geology_over_10km (94.969 km)
117,"-447 feet, Borehole 2, Cleeve, near Longreach",Queensland,AU,-23.433332,144.399994,nearest_geology_over_10km (31.970 km)
116,"-519 feet, Borehole 2, Cleeve, near Longreach",Queensland,AU,-23.433332,144.399994,nearest_geology_over_10km (31.970 km)
623,1 km upstream from Six Mile Yard (Nawagaspis type-loc),Queensland,AU,-19.481947,144.710526,nearest_geology_over_10km (65.086 km)
621,"10 km south east of Springvale, near the Narrien Range",Queensland,AU,-22.883333,146.824173,nearest_geology_over_10km (72.218 km)
166,4 miles SW of Eungella Station,Queensland,AU,-21.155001,148.164993,nearest_geology_over_10km (24.292 km)
624,4.5 km upstream from Six Mile Yard (Wurungaspis type-loc),Queensland,AU,-19.467501,144.754715,nearest_geology_over_10km (64.537 km)
612,"AODL 0049, Mick, west of Winton",Queensland,AU,-22.383057,142.941391,nearest_geology_over_10km (15.679 km)
613,"AODL 0079, McKenzie, Elderslie Station",Queensland,AU,-22.290556,142.471939,nearest_geology_over_10km (49.009 km)
610,"AODL 0080, Bob, Belmont Station",Queensland,AU,-22.079445,143.510284,nearest_geology_over_10km (52.661 km)
614,"AODL 0117, Dixie, Elderslie Station",Queensland,AU,-22.290556,142.471939,nearest_geology_over_10km (49.009 km)
615,"AODL 0125, Trixie, Elderslie Station",Queensland,AU,-22.290556,142.471939,nearest_geology_over_10km (49.009 km)
607,"AODL 0128, Devil Dave, Belmont Station",Queensland,AU,-22.079721,143.510559,nearest_geology_over_10km (52.667 km)
609,"AODL 0137, Elderslie Station",Queensland,AU,-22.290556,142.471939,nearest_geology_over_10km (49.009 km)
611,"AODL 0160, Patrice, Lovelle Downs Station",Queensland,AU,-22.146111,142.536118,nearest_geology_over_10km (50.486 km)
608,"AODL 0215, Ian, Elderslie Station",Queensland,AU,-22.290556,142.471939,nearest_geology_over_10km (49.009 km)
616,"AODL 0247, Leo, Belmont Station",Queensland,AU,-22.079445,143.510559,nearest_geology_over_10km (52.684 km)
332,Accord,Queensland,AU,-23.466667,144.866669,nearest_geology_over_10km (17.883 km)
178,Alderly station,Queensland,AU,-20.841667,143.895828,nearest_geology_over_10km (148.317 km)
86,Alni Station,Queensland,AU,-22.183332,142.466660,nearest_geology_over_10km (58.610 km)
604,"Ann site, Elderslie Station (AODL 0252)",Queensland,AU,-22.250000,142.500000,nearest_geology_over_10km (54.131 km)
153,Aramac [Tambo Series],Queensland,AU,-22.966667,145.250000,nearest_geology_over_10km (83.054 km)
184,"Army Downs, 35 miles north of Richmond",Queensland,AU,-20.221111,143.133331,nearest_geology_over_10km (95.591 km)
326,Ashgrove Station,Queensland,AU,-20.883329,143.800003,nearest_geology_over_10km (149.242 km)
55,"B220, W of Pyramid, Ukalunda Beds",Queensland,AU,-20.850000,147.166672,nearest_geology_over_10km (88.143 km)
56,"B610F, W of Pyramid, Ukalunda Beds",Queensland,AU,-20.850000,147.166672,nearest_geology_over_10km (88.143 km)
54,"B76F, Mary Creek, Ukalunda Beds",Queensland,AU,-20.850000,147.166672,nearest_geology_over_10km (88.143 km)
53,"B84F, Mary Creek, Ukalunda Beds",Queensland,AU,-20.850000,147.166672,nearest_geology_over_10km (88.143 km)
384,"BMR B1569, Collinsville",Queensland,AU,-20.804167,147.687500,nearest_geology_over_10km (39.089 km)
