inferred_collection_event_id,location_id,location_name,event_sequence_at_location,year_start,year_end,find_count,existing_collection_event_count,existing_collection_event_ids,find_ids,occurrence_nos
747,600,"""Chookie Site"", Elderslie Station (AODL 0120)",1,2019,2020,3,1,647,1985;1986;1987,1587404;1587405;1587406
111,82,"""Rock Hole"", Rosebery Downs, Muttaburra",1,1962,1962,1,1,126,1649,1254294
112,82,"""Rock Hole"", Rosebery Downs, Muttaburra",2,1975,1979,4,1,126,582;580;581;579,566779;566777;566778;566776
155,117,"-447 feet, Borehole 2, Cleeve, near Longreach",1,1930,1932,5,1,162,713;714;716;712;715,762755;762756;762758;762754;762757
154,116,"-519 feet, Borehole 2, Cleeve, near Longreach",1,1928,1928,1,1,161,711,762753
770,623,1 km upstream from Six Mile Yard (Nawagaspis type-loc),1,1988,1988,1,1,670,2056,1684294
768,621,"10 km south east of Springvale, near the Narrien Range",1,1992,1992,1,1,668,2054,1679823
233,166,4 miles SW of Eungella Station,1,1951,1951,1,1,211,790,787445
771,624,4.5 km upstream from Six Mile Yard (Wurungaspis type-loc),1,1988,1988,1,1,671,2057,1684295
450,332,Accord,1,2005,2005,1,1,377,1221,1008614
36,31,Agate Creek,1,1959,1963,7,1,76,173;178;177;179;175;176;174,306777;306782;306781;306783;306779;306780;306778
251,178,Alderly station,1,2001,2001,1,1,223,820,841557
116,86,Alni Station,1,2005,2005,1,1,130,586,577764
751,604,"Ann site, Elderslie Station (AODL 0252)",1,2019,2019,1,1,651,2027,1624652
759,612,"AODL 0049, Mick, west of Winton",1,2020,2020,1,1,659,2037,1654707
760,613,"AODL 0079, McKenzie, Elderslie Station",1,2018,2018,1,1,660,2038,1654708
757,610,"AODL 0080, Bob, Belmont Station",1,2022,2022,1,1,657,2034,1654704
761,614,"AODL 0117, Dixie, Elderslie Station",1,2019,2019,1,1,661,2039,1654709
762,615,"AODL 0125, Trixie, Elderslie Station",1,2022,2022,1,1,662,2040,1654710
754,607,"AODL 0128, Devil Dave, Belmont Station",1,2019,2019,1,1,654,2031,1654698
756,609,"AODL 0137, Elderslie Station",1,2018,2018,1,1,656,2033,1654700
758,611,"AODL 0160, Patrice, Lovelle Downs Station",1,2019,2019,1,1,658,2036,1654706
755,608,"AODL 0215, Ian, Elderslie Station",1,2021,2021,1,1,655,2032,1654699
763,616,"AODL 0247, Leo, Belmont Station",1,2018,2018,1,1,663,2041,1654711
212,153,Aramac [Tambo Series],1,1923,1923,1,1,198,763,780202
259,184,"Army Downs, 35 miles north of Richmond",1,1986,1986,1,1,229,834,899914
442,326,Ashgrove Station,1,2005,2005,1,1,371,1211,1006718
72,55,"B220, W of Pyramid, Ukalunda Beds",1,1987,1991,8,1,99,334;333;336;330;331;329;332;335,412344;412343;412346;412340;412341;412339;412342;412345
8,6,"B220F Pyramid homestead, Ukalunda Beds, Ukalunda District, North Queensland",1,1963,1963,1,1,51,70,111635
73,56,"B610F, W of Pyramid, Ukalunda Beds",1,1988,1991,6,1,100,339;337;342;338;340;341,412349;412347;412352;412348;412350;412351
6,4,"B76F Mary Creek, Ukalunda Beds, Ukalunda District, North Queensland",1,1963,1967,13,1,49,53;55;47;49;52;50;51;57;48;54;58;59;56,111618;111620;111612;111614;111617;111615;111616;111622;111613;111619;111623;111624;111621
71,54,"B76F, Mary Creek, Ukalunda Beds",1,1987,1991,16,1,98,313;320;324;317;326;315;321;322;323;325;327;328;319;314;316;318,412323;412330;412334;412327;412336;412325;412331;412332;412333;412335;412337;412338;412329;412324;412326;412328
7,5,"B84F Hidden Valley, Ukalunda Beds, Ukalunda District, North Queensland",1,1963,1967,10,1,50,60;62;63;69;64;68;66;61;65;67,111625;111627;111628;111634;111629;111633;111631;111626;111630;111632
70,53,"B84F, Mary Creek, Ukalunda Beds",1,1988,1991,9,1,97,304;309;311;308;312;305;306;310;307,412314;412319;412321;412318;412322;412315;412316;412320;412317
198,142,Barcaldine [Allaru Fm],1,1976,1976,1,1,187,748,779126
214,155,Beaconsfield [Tambo Series],1,1921,1921,1,1,200,766,780211
215,155,Beaconsfield [Tambo Series],2,1924,1925,2,1,200,765;771,780208;780230
252,179,Belmont Station,1,2003,2003,1,1,224,821,858694
253,179,Belmont Station,2,2010,2010,1,1,224,822,858695
661,525,"Big Stockyard Creek area, south of Greenvale",1,1995,1995,1,1,570,1650,1290657
156,118,Birralee Hill,1,1957,1957,1,1,163,717,774783
692,550,"Blaggard Creek, Spring Park Station",1,2009,2009,1,1,596,1728,1351286
34,30,Blair Athol,1,1969,1970,5,1,78,184;185;186;187;188,306927;306928;306929;306930;306931
35,30,Blair Athol,2,1974,1975,3,1,75,171;172;170,306775;306776;306774
687,548,Bluff Downs,1,1970,1974,20,1,594,1724;2012;2013;2019;2025;2026;1726;2018;2020;2014;2017;2021;2024;2010;2011;2016;2022;2023;1725;2015,1345428;1605093;1605094;1605100;1605106;1605107;1345430;1605099;1605101;1605095;1605098;1605102;1605105;1605091;1605092;1605097;1605103;1605104;1345429;1605096
688,548,Bluff Downs,2,1981,1981,1,1,593,1723,1345421
689,548,Bluff Downs,3,1988,1992,15,1,594,1939;1933;1937;1941;1944;1932;1936;1938;1943;1934;1935;1940;1942;1930;1931,1541260;1541254;1541258;1541262;1541265;1541253;1541257;1541259;1541264;1541255;1541256;1541261;1541263;1541251;1541252
106,79,"Bluff Downs station, Main Quarry",1,1976,1976,1,1,123,1312,1135152
107,79,"Bluff Downs station, Main Quarry",2,1991,1998,6,1,123,1945;1311;1876;1274;574;1287,1542037;1132828;1428083;1081064;504445;1087341
108,79,"Bluff Downs station, Main Quarry",3,2003,2003,1,1,123,799,804389
509,384,"BMR B1569, Collinsville",1,1965,1965,1,1,429,1320,1136383
157,119,"BMR B1570, Parrot Creek, Mulgrave Yards",1,1964,1964,1,1,164,1282,1082640
158,119,"BMR B1570, Parrot Creek, Mulgrave Yards",2,1992,1992,1,1,164,718,774888
159,119,"BMR B1570, Parrot Creek, Mulgrave Yards",3,1997,1997,1,1,164,815,821296
243,172,"BMR B1572, Parrot Creek, Mulgrave Road Crossing",1,1983,1983,1,1,217,800,809784
428,312,"BMR B1633, Collinsville",1,1962,1962,1,1,357,1186,977543
503,379,"BMR B1633a, Collinsville",1,1966,1966,1,1,424,1314,1136377
504,380,"BMR B1633b, Collinsville",1,1966,1966,1,1,425,1315,1136378
160,120,"BMR B1634, Collinsville",1,1977,1977,1,1,165,719,774889
506,382,"BMR B261d, Nebo Synclinorium",1,1960,1960,1,1,427,1317,1136380
507,382,"BMR B261d, Nebo Synclinorium",2,1965,1965,1,1,427,1318,1136381
161,121,"BMR B261e, Nebo Synclinorium",1,1959,1959,1,1,166,1188,977546
162,121,"BMR B261e, Nebo Synclinorium",2,1993,1993,1,1,166,721,774891
163,121,"BMR B261e, Nebo Synclinorium",3,1996,1996,1,1,166,720,774890
164,122,"BMR B270a, Exmoor Homestead",1,1961,1963,3,1,167,1196;1288;1194,977555;1087960;977552
165,122,"BMR B270a, Exmoor Homestead",2,1992,1992,1,1,167,722,774892
493,370,"BMR B594, Collinsville area",1,1965,1965,1,1,415,1298,1087980
166,123,"BMR B628, Collinsville Shelf",1,1996,1996,1,1,168,723,774893
167,123,"BMR B628, Collinsville Shelf",2,2001,2001,1,1,168,816,821297
505,381,"BMR B629, Collinsville",1,1966,1966,1,1,426,1316,1136379
168,124,"BMR B634, Bowen Basin",1,1959,1959,1,1,169,724,774894
169,125,"BMR B635, Collinsville Shelf",1,1992,1992,1,1,170,725,774895
170,126,"BMR B683, Exmoor Homestead",1,1959,1961,3,1,171,726;727;1200,774896;774897;977559
171,127,"BMR B686, Nebo Synclinorium",1,1959,1959,1,1,172,1184,977537
172,127,"BMR B686, Nebo Synclinorium",2,1962,1962,1,1,172,1301,1088007
173,127,"BMR B686, Nebo Synclinorium",3,1967,1967,1,1,172,1321,1136460
174,127,"BMR B686, Nebo Synclinorium",4,1994,1994,2,1,172,728;729,774898;774899
508,383,"BMR B711, Bowen River",1,1964,1964,1,1,428,1319,1136382
175,128,"BMR B712, Nebo Synclinorium",1,1996,1996,1,1,173,730,774900
430,314,"BMR C113, Capella Block",1,1960,1960,1,1,359,1189,977547
433,317,"BMR C1318/1, Clermont area",1,1963,1963,1,1,362,1195,977553
431,315,"BMR C144/3, Capella Block",1,1959,1959,1,1,360,1190,977548
176,129,"BMR CL12/1, Pelecypod Bed, Capella Block",1,1959,1966,5,1,174,1192;1289;1279;1272;817,977550;1087961;1082633;1075249;821298
177,129,"BMR CL12/1, Pelecypod Bed, Capella Block",2,1994,1994,1,1,174,731,774918
178,130,"BMR CL12/2, Clarkei Bed, Capella Block",1,1962,1962,1,1,175,1193,977551
179,130,"BMR CL12/2, Clarkei Bed, Capella Block",2,1993,1995,2,1,175,733;732,774920;774919
180,131,"BMR CL132, Clarkei Bed, Capella Block",1,1994,1994,1,1,176,734,774921
486,363,"BMR CL132B, Clarkei Bed, Capella Block",1,1962,1962,1,1,408,1280,1082637
181,132,"BMR CL14, Capella Block",1,1964,1966,3,1,177,1290;1302;735,1087962;1088012;774922
182,132,"BMR CL14, Capella Block",2,1994,1994,1,1,177,736,774923
183,133,"BMR CL142, Mount Lebanon/Logan Downs Homesteads, Clermont Area",1,1962,1962,1,1,178,737,776105
244,173,"BMR CL21/5, Tay Glen Crossing, Phillips Creek",1,1961,1961,1,1,218,1879,1500681
245,173,"BMR CL21/5, Tay Glen Crossing, Phillips Creek",2,1985,1985,1,1,218,801,813095
184,134,"BMR CL225/1, Clarkei Bed, Capella Block",1,1961,1961,1,1,179,1292,1087965
185,134,"BMR CL225/1, Clarkei Bed, Capella Block",2,1964,1964,1,1,179,1278,1082632
186,134,"BMR CL225/1, Clarkei Bed, Capella Block",3,1996,1996,1,1,179,738,776106
187,135,"BMR CL25/1, Pelecypod Bed, Capella Block",1,1962,1962,1,1,180,1291,1087963
188,135,"BMR CL25/1, Pelecypod Bed, Capella Block",2,1995,1995,1,1,180,739,776107
492,369,"BMR CL30/1, Clermont area",1,1962,1962,1,1,414,1297,1087979
490,367,"BMR CL318/1, Clermont area",1,1962,1962,1,1,412,1294,1087967
487,364,"BMR CL40/2, Clarkei Bed, Capella Block",1,1961,1961,1,1,409,1281,1082638
489,366,"BMR CL42/6, Clermont area",1,1965,1965,1,1,411,1293,1087966
189,136,"BMR CL50/1, Capella Block",1,1994,1994,1,1,181,740,776108
426,311,BMR Collinsville 1,1,1960,1960,2,1,356,1182;1201,977520;977561
427,311,BMR Collinsville 1,2,1964,1964,1,1,356,1283,1082642
491,368,BMR Collinsville 1a,1,1965,1965,1,1,413,1295,1087968
436,320,BMR Collinsville 4a,1,1962,1962,1,1,365,1202,977562
484,361,BMR Collinsville 5,1,1961,1963,2,1,406,1296;1273,1087969;1075250
190,137,"BMR Du519, Myrtle Park Homestead",1,1996,1996,1,1,182,741,776128
432,316,"BMR Em208, Capella Block",1,1959,1959,1,1,361,1191,977549
191,138,"BMR EM209, Clarkei Bed, Capella Block",1,1992,1992,1,1,183,742,778525
192,138,"BMR EM209, Clarkei Bed, Capella Block",2,1996,1996,1,1,183,743,778526
216,156,"BMR M12F, Nebo Synclinorium",1,1993,1995,3,1,201,774;773;775,787412;787411;787413
429,313,"BMR M418, Mackay Area",1,1960,1960,1,1,358,1187,977545
488,365,"BMR M85c, Collinsville",1,1962,1962,1,1,410,1284,1082644
217,157,"BMR MC1065, Blenheim Homestead",1,1977,1977,1,1,202,838,902703
218,157,"BMR MC1065, Blenheim Homestead",2,1996,1996,1,1,202,776,787431
416,304,"BMR MC292, Collinsville Road, Blenheim Creek",1,1986,1986,1,1,349,1157,933822
250,177,"BMR MC293, Blenheim",1,1966,1966,1,1,222,818,821300
219,158,"BMR MC311, Lenton Downs Homestead",1,1995,1995,1,1,203,777,787432
220,159,"BMR MC414, Nebo Synclinorium",1,1992,1992,1,1,204,778,787433
221,159,"BMR MC414, Nebo Synclinorium",2,1996,1996,1,1,204,779,787434
222,160,"BMR MC420, Bowen River",1,1963,1964,2,1,205,803;1299,814512;1088001
223,160,"BMR MC420, Bowen River",2,1993,1993,1,1,205,780,787435
434,318,"BMR MC423a, Blenheim Homestead",1,1960,1960,1,1,363,1197,977556
435,319,"BMR MC423b, Blenheim Homestead",1,1959,1959,1,1,364,1198,977557
224,161,"BMR MC479, Hazelwood Creek",1,1962,1965,5,1,206,1286;1183;1276;1300;1313,1082651;977536;1082622;1088006;1136375
225,161,"BMR MC479, Hazelwood Creek",2,1975,1975,1,1,206,781,787436
226,161,"BMR MC479, Hazelwood Creek",3,1996,1996,1,1,206,782,787437
230,164,"BMR MC485 AF, Hazelwood Creek",1,1992,1992,1,1,209,788,787443
231,164,"BMR MC485 AF, Hazelwood Creek",2,1995,1996,2,1,209,787;786,787442;787441
232,165,"BMR MC485 BF, Hazelwood Creek",1,1995,1995,1,1,210,789,787444
234,167,"BMR MC485 CF, Hazelwood Creek",1,1992,1992,1,1,212,791,787446
229,163,"BMR MC485 Diel, Hazelwood Creek",1,1963,1963,1,1,208,784,787439
227,162,"BMR MC485, Hazelwood Creek",1,1959,1965,5,1,207,783;1185;1277;802;1322,787438;977539;1082624;814511;1136461
