location_id,name,latitude,longitude,derived_basin,derived_proterozoic_province,derived_orogen,updated_basin,updated_proterozoic_province,updated_orogen
1,"Lowes Basin, near old Dalrymple township, 25 miles now of Charters Towers",-20.106388,146.266663,,Charters Towers Province,Thomson Orogen,,Charters Towers Province,Thomson Orogen
2,"Ukalunda Beds, Mount Coolon, Central Queensland, Australia",-22.000000,143.000000,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
3,"Douglas Creek Formation, Clermont District, Queensland, Australia",-22.900000,147.633331,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
4,"B76F Mary Creek, Ukalunda Beds, Ukalunda District, North Queensland",-20.000000,147.000000,,Charters Towers Province,Thomson Orogen,,Charters Towers Province,Thomson Orogen
5,"B84F Hidden Valley, Ukalunda Beds, Ukalunda District, North Queensland",-20.000000,147.000000,,Charters Towers Province,Thomson Orogen,,Charters Towers Province,Thomson Orogen
6,"B220F Pyramid homestead, Ukalunda Beds, Ukalunda District, North Queensland",-20.000000,147.000000,,Charters Towers Province,Thomson Orogen,,Charters Towers Province,Thomson Orogen
7,"West of Pyramid homestead, Ukalunda Beds, Ukalunda District, North Queensland",-20.000000,147.000000,,Charters Towers Province,Thomson Orogen,,Charters Towers Province,Thomson Orogen
8,Diamantina River,-22.600000,143.000000,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
9,Bowen Basin L2689,-22.000000,148.000000,Bowen Basin,,New England Orogen,Bowen Basin,,New England Orogen
10,Bowen Basin L5247,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
11,Bowen Basin L5245,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
12,Bowen Basin L5420,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
13,Bowen Basin L5495,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
14,Bowen Basin L3782,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
15,Bowen Basin L5246,-22.000000,148.000000,Bowen Basin,,New England Orogen,Bowen Basin,,New England Orogen
16,Bowen Basin L5249,-22.000000,148.000000,Bowen Basin,,New England Orogen,Bowen Basin,,New England Orogen
17,Bowen Basin L5244,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
18,Bowen Basin L5242,-22.000000,148.000000,Bowen Basin,,New England Orogen,Bowen Basin,,New England Orogen
19,Bowen Basin L5533,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
20,Bowen Basin L5537,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
21,Bowen Basin L5535,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
22,Bowen Basin L5248,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
23,Eromanga Basin L165,-23.033333,142.383331,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
24,Eromanga Basin L224,-23.016666,142.399994,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
25,Eromanga Basin L406,-22.716667,142.350006,Eromanga Basin,North Australian Craton undivided,North Australian Craton,Eromanga Basin,North Australian Craton undivided,North Australian Craton
26,Eromanga Basin L552,-22.000000,143.000000,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
27,Eromanga Basin L717,-23.516666,143.183334,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
28,Eromanga Basin QMF17458,-22.000000,143.000000,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
29,Lark Quarry dinosaur tracksite (QM),-23.076111,142.806671,Eromanga Basin,,Thomson Orogen,Eromanga Basin,,Thomson Orogen
30,Blair Athol,-22.700001,147.500000,Bowen Basin,,Thomson Orogen,Bowen Basin,,Thomson Orogen
31,Agate Creek,-18.799999,143.600006,,Etheridge Province,North Australian Craton,,Etheridge Province,North Australian Craton
32,N. Bowen Basin,-21.000000,148.000000,Bowen Basin,,New England Orogen,Bowen Basin,,New England Orogen
33,Blair Athol,-22.700001,147.500000,Bowen Basin,,Thomson Orogen,Bowen Basin,,Thomson Orogen
34,Bowen Basin L1730,-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
35,"Whitewood Paddock, Clutha Station",-20.369400,142.230499,Eromanga Basin,North Australian Craton undivided,North Australian Craton,Eromanga Basin,North Australian Craton undivided,North Australian Craton
36,"Bowen Basin, Curragh Coal Mine",-23.000000,148.000000,,Anakie Province,Thomson Orogen,,Anakie Province,Thomson Orogen
