location_id,location_name,match_method,pbdb_geo_rows,pbdb_total_rows,latitude,longitude
41,"UQL4841, Top Hut Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,6,6,-20.000000,145.000000
42,"UQL4842, Top Hut Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,8,8,-20.000000,145.000000
43,"UQL4844, Gray Creek Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,2,2,-20.000000,145.000000
44,"JCUL153, Gray Creek Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,2,2,-20.000000,145.000000
45,"UQL4847, Tomcat Creek Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,4,4,-20.000000,145.000000
46,"UQL4848, Tomcat Creek Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,5,5,-20.000000,145.000000
47,"UQL4849, Tomcat Creek Lst Mbr, Quinton Fmn, Broken River Province, NE Queensland",collection_name_exact,3,3,-20.000000,145.000000
48,"QML 1094, near Little Rocks, 27km NW of Charters Towers",collection_name_exact,24,24,-20.000000,146.000000
49,"QML 1019, ridge of silicrete 100 meters north of road 500m East of Storm Dam 190",collection_name_exact,13,13,-19.533333,144.666672
50,"QML 1083 - Nuggety Gully, East Gorge along PharLap Rd.",collection_name_exact,2,2,-19.466389,144.747772
51,"QML 1092, 500 m northwest of type section creek for Dosey Limestone",collection_name_exact,18,18,-19.499722,144.731110
52,"Gastropods of the Ukalunda Beds and related Douglas Creek Lst, N Queensland",collection_name_exact,4,4,-21.000000,147.000000
53,"B84F, Mary Creek, Ukalunda Beds",collection_name_exact,9,9,-20.850000,147.166672
54,"B76F, Mary Creek, Ukalunda Beds",collection_name_exact,16,16,-20.850000,147.166672
55,"B220, W of Pyramid, Ukalunda Beds",collection_name_exact,8,8,-20.850000,147.166672
56,"B610F, W of Pyramid, Ukalunda Beds",collection_name_exact,6,6,-20.850000,147.166672
57,"Section HID, Mary Creek, Ukalunda Beds",collection_name_exact,15,15,-20.850000,147.166672
58,"Section SHID, Mary Creek, Ukalunda Beds",collection_name_exact,13,13,-20.850000,147.166672
59,"CL172, Douglas Creek siltstones, N Queensland",collection_name_exact,6,6,-22.916668,147.699997
60,"UQ L3725, Exmoor Homestead",collection_name_exact,23,23,-20.976000,148.167007
61,"Locality UQL2953, Shield Creek Fmn, N Queensland",collection_name_exact,13,13,-19.000000,145.000000
62,"Locality UQL2954, Shield Creek Fmn, N Queensland",collection_name_exact,7,7,-19.000000,145.000000
63,"Locality UQL2715, Shield Creek Fmn, N Queensland",collection_name_exact,1,1,-19.000000,145.000000
64,"Locality UQL3574, Shield Creek Fmn, N Queensland",collection_name_exact,19,19,-19.000000,145.000000
65,"Chinaman Creek Lst Lower Fauna, Broken River Province, N Queensland",collection_name_exact,23,23,-19.500000,145.000000
66,"Chinaman Creek Lst Middle Fauna, Broken River Province, N Queensland",collection_name_exact,17,17,-19.500000,145.000000
67,"Chinaman Creek Lst Upper Fauna, Broken River Province, N Queensland",collection_name_exact,13,13,-19.500000,145.000000
68,"Martins Well Lst, Broken River Province, N Queensland",collection_name_exact,29,29,-19.500000,145.000000
69,"Quinton Fmn trilobite faunule, Gray Creek, NE Queensland",collection_name_exact,9,9,-19.283333,144.883331
70,"Locality PL1906, Poley Cow Fmn, Broken River Province, N Queensland",collection_name_exact,23,23,-19.000000,145.000000
71,"Upper Martins Well Lst crinoids, Shield Creek Fmn, Martins Wells, N Queensland",collection_name_exact,4,4,-19.000000,145.000000
72,"UQL5209, Burges Fmn crinoids, Broken River Group, N Queensland",collection_name_exact,1,1,-19.000000,145.000000
73,"UQL5372, Burges Fmn crinoids, Broken River Group, N Queensland",collection_name_exact,1,1,-19.000000,145.000000
74,"UQL5234, Dosey Lst crinoids, Broken River Group, N Queensland",collection_name_exact,1,1,-19.000000,145.000000
75,"Papilio Fmn crinoids, Broken River Group, N Queensland",collection_name_exact,8,8,-19.000000,145.000000
76,"Burdekin River near Big Bend, N of Charters Towers",collection_name_exact,2,2,-20.000000,146.000000
77,"Marathon Station, Flinders River (QM)",collection_name_exact,7,7,-20.866667,143.583328
78,Dunluce Station (QM),collection_name_exact,1,1,-20.883329,143.800003
79,"Bluff Downs station, Main Quarry",collection_name_exact,8,8,-19.716667,145.600006
80,"QML 1006 - Unnamed tributary of Mary Creek, 200 meters northeast of QML1005",collection_name_exact,1,1,-20.795000,147.338333
81,QML 1008. Small unnamed creek 1.5 kilometers south of Sugarloaf Dam.,collection_name_exact,2,2,-20.923332,147.063339
