section,field,populated_01,populated_02,populated_03
Geological/Temporal,Geology Comments,field*,research,n/a
Geological/Temporal,Concentration,field*,research,n/a
Geological/Temporal,Orientation,field,n/a,n/a
Geological/Temporal,Abundancy in Sediment,field*,research,n/a
Geological/Temporal,Reinforcement,field*,research,n/a
Location,Latitude,field,n/a,n/a
Location,Longitude,field,n/a,n/a
Location,Altitude Value,field,n/a,n/a
Location,Altitude Unit,field,n/a,n/a
Location,Collection Name,field*,research,n/a
Location,Collection Subset,field*,research,n/a
Stratigraphy,Formation,field*,research,n/a
Stratigraphy,Stratigraphy Comments,field*,research,n/a
Lithology,Lithology,field,n/a,n/a
Lithology,Lithification,field*,research,n/a
Lithology,Minor Lithology,field*,research,n/a
Lithology,Lithology Adjectives,field*,research,n/a
Preservation & Collection,Preservation Quality,field*,research,n/a
Preservation & Collection,Preservation Comments,field,n/a,n/a
Preservation & Collection,Collectors,field,n/a,n/a
Preservation & Collection,Collection Dates,field,n/a,n/a
Preservation & Collection,Collection Comments,field*,research,n/a
Preservation & Collection,Collection Methods,field,n/a,n/a
Preservation & Collection,Occurrence Comments,field*,research,n/a
