collection_no,collection_dates,collectors,collection_name,lat,lng,state,cc,find_count
62553,1999-2004,D. Elliot & S. Salisbury,Elliot Site (QM L1333/AODL 001),-22.348333,143.089172,Queensland,AU,13
226547,2019,(no collectors),"Mitchell site, Elderslie Sheep Station (AODL 270)",-22.200832,142.527222,Queensland,AU,11
123246,1876-1880,R.L. Jack,"Coral Creek, below Sonoma road-crossing",-20.605000,147.850006,Queensland,AU,10
222683,1880s?,"C. W. de Vis, G. Sweet","Marathon Station, Flinders River",-20.866667,143.583328,Queensland,AU,8
225328,2018–2020,(no collectors),"Snake Creek Tracksite, Karoola",-22.087299,142.490997,Queensland,AU,8
47057,1989-1990,I. Ievers,"Marathon Station, Flinders River (QM)",-20.866667,143.583328,Queensland,AU,7
59338,1963,Langdon,"""Rock Hole"", Rosebery Downs, Muttaburra",-22.667500,144.600555,Queensland,AU,5
122712,1990,A. Rozefelds,"Canary Station, Hughenden area",-20.841667,144.199997,Queensland,AU,5
90140,2005–2010,(no collectors),"Matilda Site, Elderslie Station (AODL 0085)",-22.199722,142.528610,Queensland,AU,5
110465,1899,A. Crombie,"Dunraven Station, Hughenden area",-20.841667,144.199997,Queensland,AU,4
60799,1974,K. Watts,"Triangle Paddock, Elderslie Station (QM L313)",-22.250000,142.483337,Queensland,AU,4
235290,November 2021,K. Petersen,"Dig Site Three, NW of Richmond",-20.643888,143.097504,Queensland,AU,4
35273,1932–1933; 2014-–2015,H. A. Longman,"Whitewood Paddock, Clutha Station",-20.369400,142.230499,Queensland,AU,3
28606,1976,(no collectors),Lark Quarry dinosaur tracksite (QM),-23.076111,142.806671,Queensland,AU,3
89950,April 1991,P. Gilmore,"Telemon lease, Dunluce Station",-20.883329,143.800003,Queensland,AU,3
123231,1876-1880,R.L. Jack,"Havilah-Byerwin Road, 1 mile south of Rosella Creek crossing",-20.860001,147.860001,Queensland,AU,2
123247,1876-1880,R.L. Jack,"Stonelumpy Creek, Bowen River coalfield",-20.600000,147.800003,Queensland,AU,2
123248,1876-1880,R.L. Jack,"Parrot Creek, four and a quarter miles up",-20.830000,147.740005,Queensland,AU,2
123251,1876-1880,R.L. Jack,"Pelican Creek, five miles north of Sonoma Station",-20.600000,147.759995,Queensland,AU,2
123252,1876-1880,R.L. Jack,"GSQ L852, Pelican Creek, opposite Palmer's Old Station",-20.600000,147.759995,Queensland,AU,2
123255,1876-1880,R.L. Jack,"Bowen River, at No. 25 traverse station",-20.700001,147.699997,Queensland,AU,2
62556,"1967, 1971, 1976","G. Seymour, R. McKenzie, R. Tedford, R. Thulborn, M. Wade",Seymour Quarry tracksite (QM),-23.076111,142.806671,Queensland,AU,2
185501,1978,(no collectors),New Quarry dinosaur tracksite (QM),-23.076111,142.806671,Queensland,AU,2
62552,1978-1997,(no collectors),"M8M windmill, Bladensburg Station",-22.516945,143.038895,Queensland,AU,2
143209,1991,(no collectors),"Dick's Mother Lode Quarry, Bluff Downs station",-19.718611,145.601669,Queensland,AU,2
62551,1993,Rogers,Iona Station,-20.966667,144.383331,Queensland,AU,2
60792,2 Jun 1952,Derek J. Fraser,Selwyn Park Sheep Station,-22.683332,143.566666,Queensland,AU,2
153781,"2005, 2006, 2013",D. Elliot,"Ho-Hum site, Belmont Station (AODL 0082)",-22.348333,143.089172,Queensland,AU,2
123232,1876-1880,R.L. Jack,"Pelican creek, three-quarters of a mile above Sonoma road-crossing",-20.549999,147.854996,Queensland,AU,1
123249,1876-1880,R.L. Jack,"Pelican Creek, two and a half miles above Sonoma road-crossing",-20.549999,147.850006,Queensland,AU,1
123250,1876-1880,R.L. Jack,"Parrot Creek, four and a half miles up",-20.840000,147.740005,Queensland,AU,1
123253,1876-1880,R.L. Jack,"Parrot Creek, eight miles up",-20.879999,147.699997,Queensland,AU,1
123254,1876-1880,R.L. Jack,"Bowen River, between traverse stations 25 and 26",-20.700001,147.699997,Queensland,AU,1
123256,1876-1880,R.L. Jack,"Pelican creek, half a mile above Sonoma road-crossing",-20.549999,147.854996,Queensland,AU,1
123257,1876-1880,R.L. Jack,"Pelican Creek, above Garrick coal seam",-20.600000,147.759995,Queensland,AU,1
123258,1876-1880,R.L. Jack,"Head of Pelican creek, near Mount Diolin",-20.480000,147.889999,Queensland,AU,1
123259,1876-1880,R.L. Jack,"Rosella Creek, two miles above Havilah Paddock",-20.875000,147.880005,Queensland,AU,1
198220,1881,A. Liversidge,"Notochelone type, Flinder's River region [PROXY]",-20.769444,143.660278,Queensland,AU,1
100235,1931-1932,William Schevill,"Army Downs, 35 miles north of Richmond",-20.221111,143.133331,Queensland,AU,1
68155,1935,B. R. Green & J. E. Young,Richmond area sauropod site (QM),-20.611340,143.073303,Queensland,AU,1
175690,1936,G. MacDonald,Emerald locality,-23.000000,148.000000,Queensland,AU,1
60764,1955,Jack Tunstall Woods,"Pelican Bore, Stewart Creek",-20.850000,144.199997,Queensland,AU,1
60794,1959,Bartholomai,Alni Station,-22.183332,142.466660,Queensland,AU,1
106419,1978,C. Walker,Pelican Bore,-20.535000,143.983994,Queensland,AU,1
47058,1987,Walkr & Wade,Dunluce Station (QM),-20.883329,143.800003,Queensland,AU,1
236853,2013,(no collectors),"Pterosaur site, Belmont Station (AODL 0245)",-22.348333,143.089172,Queensland,AU,1
229882,2018,(no collectors),"Ann site, Elderslie Station (AODL 0252)",-22.250000,142.500000,Queensland,AU,1
236854,Jun 2011,L. Shaw,Free Fossil Hunting Site 1,-20.646944,143.099442,Queensland,AU,1
