occurrence_no,reference_no,ref_author,ref_pubyr,paper_title,paper_authors,paper_publication_year,author_institutions,paper_abstract,enrichment_sources,best_match_score
95556,451,Heidecker 1959,1959,Middle Devonian Molluscs from the Burdekin Formation of North Queensland,E. Heidecker,1959,,Three new molluscan genera from the Middle Devonian of North Queensland are described. The molluscs are the lamellibranch Neoactinodonta and the gastropods Austerum and Labrocuspis. A redescription of Burdikinia Knight is also given.,pbdb_ref;openalex,1.000
95557,451,Heidecker 1959,1959,Middle Devonian Molluscs from the Burdekin Formation of North Queensland,E. Heidecker,1959,,Three new molluscan genera from the Middle Devonian of North Queensland are described. The molluscs are the lamellibranch Neoactinodonta and the gastropods Austerum and Labrocuspis. A redescription of Burdikinia Knight is also given.,pbdb_ref;openalex,1.000
95558,451,Heidecker 1959,1959,Middle Devonian Molluscs from the Burdekin Formation of North Queensland,E. Heidecker,1959,,Three new molluscan genera from the Middle Devonian of North Queensland are described. The molluscs are the lamellibranch Neoactinodonta and the gastropods Austerum and Labrocuspis. A redescription of Burdikinia Knight is also given.,pbdb_ref;openalex,1.000
95559,451,Heidecker 1959,1959,Middle Devonian Molluscs from the Burdekin Formation of North Queensland,E. Heidecker,1959,,Three new molluscan genera from the Middle Devonian of North Queensland are described. The molluscs are the lamellibranch Neoactinodonta and the gastropods Austerum and Labrocuspis. A redescription of Burdikinia Knight is also given.,pbdb_ref;openalex,1.000
95573,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95574,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95575,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95576,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95577,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95578,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95579,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
95580,452,Parfrey 1989,1989,"Early Devonian Fossils from the Ukalunda Beds, north-west of Mount Coolon, Central Queensland",S. M. Parfrey,1989,,,pbdb_ref,0.544
96003,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96004,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96005,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96006,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96007,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96008,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96009,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96010,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96011,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96012,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96013,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96014,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96015,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96016,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96017,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96018,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96019,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96020,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96021,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96022,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
96023,457,Jell and Hill 1970,1970,"Revision of the Coral Fauna from the Devonian Douglas Creek Limestone, Clermont, Central Queensland",J. S. Jell; D. Hill,1970,,,pbdb_ref,0.592
111612,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111613,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111614,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111615,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111616,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111617,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111618,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111619,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111620,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111621,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111622,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111623,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111624,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111625,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111626,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111627,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111628,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111629,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111630,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111631,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111632,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111633,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111634,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111635,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111636,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111637,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111638,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111639,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111640,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
111641,576,Hill and Jell 1969,1969,Devonian Corals from Ukalunda,D. Hill; J. S. Jell,1969,,,pbdb_ref,0.613
150318,5986,Rich 1980,1980,A note on Australian dinosaur discoveries,T. H. Rich,1980,,,pbdb_ref,0.603
150602,5986,Rich 1980,1980,A note on Australian dinosaur discoveries,T. H. Rich,1980,,,pbdb_ref,0.603
200739,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200769,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200770,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200771,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200772,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200773,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200774,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200775,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200776,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200777,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200778,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200779,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200782,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200783,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200784,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200785,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200786,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200787,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
200788,6458,McLoughlin 1992,1992,"Late Permian Plant Megafossils from the Bowen Basin, Queensland, Australia: Part 1",S. McLoughlin,1992,,,pbdb_ref;semantic_scholar,1.000
