"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&cc=AUS&lngmin=142&lngmax=148.5&latmin=-18.6&latmax=-23.9&pgm=gplates,scotese,seton&pgs=early,mid,late&show=full,genus,subgenus,strat,lith,env,resgroup"
"Access Time","Sun 2026-03-22 01:34:47 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","lngmin","142"
"","lngmax","148.5"
"","latmin","-18.6"
"","latmax","-23.9"
"","pgm","gplates,scotese,seton"
"","pgs","early,mid,late"
"","cc","AUS"
"","timerule","major"
"","taxon_status","all"
"","show","full,genus,subgenus,strat,lith,env,resgroup"
"Elapsed Time","0.116"
"Records Found","2068"
"Records Returned","2068"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","container_no","collection_aka","cc","state","county","latlng_basis","latlng_precision","altitude_value","altitude_unit","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleoage_b","paleolng_b","paleolat_b","paleoage_c","paleolng_c","paleolat_c","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleoage2_b","paleolng2_b","paleolat2_b","paleoage2_c","paleolng2_c","paleolat2_c","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","paleoage3_b","paleolng3_b","paleolat3_b","paleoage3_c","paleolng3_c","paleolat3_c","cc","protected","direct_ma_value","direct_ma_error","direct_ma_unit","direct_ma_method","max_ma_value","max_ma_error","max_ma_unit","max_ma_method","min_ma_value","min_ma_error","min_ma_unit","min_ma_method","formation","geological_group","member","stratscale","zone","zone_type","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","size_classes","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","research_group","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement","genus","formation","geological_group","member","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","research_group"
"95556","occ","","","7189","Neoactinodonta amygdalina n. gen. n. sp.","species","87500","","Tanaodon louderbacki","","species","87502","Givetian","","387.95","382.31","Heidecker 1959","1959","451","Mollusca","Bivalvia","NO_ORDER_SPECIFIED","Lyrodesmatidae","Tanaodon","","","","146.266663","-20.106388","","Lowes Basin, near old Dalrymple township, 25 miles now of Charters Towers","","Lowes Basin, Burdekin Fm., North Queensland, Australia","AU","Queensland","","based on political unit","seconds","","","outcrop","at Lowes Basin, near the old site of Dalrymple township, 25 miles northwest of Charters Towers in North Queensland; exposures near/around Lolworth Creek","gplates","801","early","130.07","-17.36","mid","131.12","-17.61","late","131.83","-17.75","scotese","801","early","155.00","-10.21","mid","152.63","-11.32","late","151.03","-12.03","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Burdekin","","","formation","","","","","","","","","","","author only refers to formation as Middle Devonian in age, but includes statement that ""examination of the rugose coral fauna in similar deposits at nearby Burdekin Downs by Hill give a Givetian age""","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","shallow subtidal indet.","","author states ""the molluscs were apparently shallow water benthonic types thriving in a well circulated, carbonate type of sedimentary environment"" and also tendencies toward shelly matter indicate fauna was exposed to strong wave action","","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","marine invertebrate","","","facultatively mobile","shallow infaunal","blind","suspension feeder","","","","aragonite","","","","Tanaodon","Burdekin","","","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","marine invertebrate"
"95557","occ","","","7189","Burdikinia burdekinensis","species","79779","","Burdikinia burdekinensis","","species","75723","Givetian","","387.95","382.31","Heidecker 1959","1959","451","Mollusca","Gastropoda","Euomphalina","Euomphalidae","Burdikinia","","","","146.266663","-20.106388","","Lowes Basin, near old Dalrymple township, 25 miles now of Charters Towers","","Lowes Basin, Burdekin Fm., North Queensland, Australia","AU","Queensland","","based on political unit","seconds","","","outcrop","at Lowes Basin, near the old site of Dalrymple township, 25 miles northwest of Charters Towers in North Queensland; exposures near/around Lolworth Creek","gplates","801","early","130.07","-17.36","mid","131.12","-17.61","late","131.83","-17.75","scotese","801","early","155.00","-10.21","mid","152.63","-11.32","late","151.03","-12.03","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Burdekin","","","formation","","","","","","","","","","","author only refers to formation as Middle Devonian in age, but includes statement that ""examination of the rugose coral fauna in similar deposits at nearby Burdekin Downs by Hill give a Givetian age""","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","shallow subtidal indet.","","author states ""the molluscs were apparently shallow water benthonic types thriving in a well circulated, carbonate type of sedimentary environment"" and also tendencies toward shelly matter indicate fauna was exposed to strong wave action","","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","marine invertebrate","","","stationary","epifaunal","limited","suspension feeder","","","","aragonite, low Mg calcite","","","","Burdikinia","Burdekin","","","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","marine invertebrate"
"95558","occ","","","7189","Labrocuspis nodosa n. gen. n. sp.","species","74110","","Labrocuspis nodosa","","species","74110","Givetian","","387.95","382.31","Heidecker 1959","1959","451","Mollusca","Gastropoda","Euomphalina","Omphalotrochidae","Labrocuspis","","","","146.266663","-20.106388","","Lowes Basin, near old Dalrymple township, 25 miles now of Charters Towers","","Lowes Basin, Burdekin Fm., North Queensland, Australia","AU","Queensland","","based on political unit","seconds","","","outcrop","at Lowes Basin, near the old site of Dalrymple township, 25 miles northwest of Charters Towers in North Queensland; exposures near/around Lolworth Creek","gplates","801","early","130.07","-17.36","mid","131.12","-17.61","late","131.83","-17.75","scotese","801","early","155.00","-10.21","mid","152.63","-11.32","late","151.03","-12.03","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Burdekin","","","formation","","","","","","","","","","","author only refers to formation as Middle Devonian in age, but includes statement that ""examination of the rugose coral fauna in similar deposits at nearby Burdekin Downs by Hill give a Givetian age""","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","shallow subtidal indet.","","author states ""the molluscs were apparently shallow water benthonic types thriving in a well circulated, carbonate type of sedimentary environment"" and also tendencies toward shelly matter indicate fauna was exposed to strong wave action","","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","marine invertebrate","","","stationary","epifaunal","limited","suspension feeder","","","","aragonite","","","","Labrocuspis","Burdekin","","","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","marine invertebrate"
"95559","occ","","","7189","Austerum carinatum n. gen. n. sp.","species","72536","recombined as","Amphelissa carinatum","","species","72536","Givetian","","387.95","382.31","Heidecker 1959","1959","451","Mollusca","Gastropoda","Euomphalina","Helicotomidae","Amphelissa","","","","146.266663","-20.106388","","Lowes Basin, near old Dalrymple township, 25 miles now of Charters Towers","","Lowes Basin, Burdekin Fm., North Queensland, Australia","AU","Queensland","","based on political unit","seconds","","","outcrop","at Lowes Basin, near the old site of Dalrymple township, 25 miles northwest of Charters Towers in North Queensland; exposures near/around Lolworth Creek","gplates","801","early","130.07","-17.36","mid","131.12","-17.61","late","131.83","-17.75","scotese","801","early","155.00","-10.21","mid","152.63","-11.32","late","151.03","-12.03","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Burdekin","","","formation","","","","","","","","","","","author only refers to formation as Middle Devonian in age, but includes statement that ""examination of the rugose coral fauna in similar deposits at nearby Burdekin Downs by Hill give a Givetian age""","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","shallow subtidal indet.","","author states ""the molluscs were apparently shallow water benthonic types thriving in a well circulated, carbonate type of sedimentary environment"" and also tendencies toward shelly matter indicate fauna was exposed to strong wave action","","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","","marine invertebrate","","","stationary","epifaunal","limited","suspension feeder","","","","aragonite","","","","Amphelissa","Burdekin","","","limestone masses up to 100 ft thick and separated by equivalent thicknesses of brown, friable, calcareous sandstone","""limestone""","red or brown","","calcareous","","sandstone","","","","","marine invertebrate"
"95573","occ","","","7192","Mesoleptostrophia clarkei","genus","27644","species not entered","Mesoleptostrophia","","genus","27644","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Brachiopoda","Strophomenata","Strophomenida","Leptostrophiidae","Mesoleptostrophia","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","BODY SIZE: Data from Williams et al. (2000).","","","","minor ribbing","Mesoleptostrophia","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
"95574","occ","","","7192","Taemostrophia patmorei","genus","28035","species not entered","Taemostrophia","","genus","28035","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Brachiopoda","Strophomenata","Strophomenida","Douvillinidae","Taemostrophia","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Taemostrophia","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
"95575","occ","","","7192","Isorthis sp.","genus","26816","","Isorthis","","genus","26816","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Brachiopoda","Rhynchonellata","Orthida","Dalmanellidae","Isorthis","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine","","stationary, attached","epifaunal","blind","suspension feeder","","","","","","intermediate","minor ribbing, minor internal reinforcement","Isorthis","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
"95576","occ","","","7192","Schizophoria sp.","genus","26991","","Schizophoria","","genus","26991","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Brachiopoda","Rhynchonellata","Orthida","Schizophoriidae","Schizophoria","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine","","stationary, attached","epifaunal","blind","suspension feeder","","","BODY SIZE: Data from Williams et al (2002).","","","","minor ribbing","Schizophoria","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
"95577","occ","","","7192","Hysterolites sp.","genus","29342","","Hysterolites","","genus","29342","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Brachiopoda","Rhynchonellata","Spiriferida","Hysterolitidae","Hysterolites","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine","","stationary","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Hysterolites","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
"95578","occ","","","7192","Ptychopteria sp.","genus","16992","","Ptychopteria","","genus","16992","Emsian","","410.62","393.47","Parfrey 1989","1989","452","Mollusca","Bivalvia","Ostreida","Pterineidae","Ptychopteria","","","","143.000000","-22.000000","","Ukalunda Beds, Mount Coolon, Central Queensland, Australia","","GSQ L2765","AU","Queensland","","based on political unit","degrees","","","small collection","fossils collected from the northern tributary of Boundary Creek, in the Ukalunda beds GR 009 539 (metric) Mt. Coolon 1:1000000 sheet (8355)","gplates","801","early","121.11","-17.64","mid","124.18","-19.29","late","126.08","-19.76","scotese","801","early","165.18","-3.99","mid","162.43","-8.44","late","157.00","-11.32","seton","not computable using this model","","","","","","","","","","AU","","","","","","","","","","","","","","Ukalunda","","","group of beds","","","","","","","","","","","","no lithology given","","","","","","","","","","","marine indet.","","","","","","","","","","","body,cast","","","","","","","","","","","","","biostratigraphic","field collection","","","","","","","","","marine invertebrate","marine,brackish","","stationary, attached","epifaunal","blind","suspension feeder","","","","low Mg calcite","","","","Ptychopteria","Ukalunda","","","no lithology given","","","","","","","","","","","marine invertebrate"
